sid	type	tissue	genotype	note	n.pass	p.fail	pref.q25	pref.q50	pref.q75
set01	Hybrid	endosperm	B73xW22	B73xW22	6569	0.09853163167284205	0.3150905166718055	0.39461883408071746	0.5104496343992142
set02	Hybrid	endosperm	B73xW22	B73xW22	6803	0.07718393922951709	0.3125	0.39285714285714285	0.5097283169850284
set03	Hybrid	endosperm	B73xW22	B73xW22	6932	0.103582050950472	0.31496062992125984	0.391304347826087	0.51248642779587406
set04	Hybrid	endosperm	B73xW22	B73xW22	7154	0.08434660181748369	0.3113207547169811	0.39186691312384475	0.5061728395061729
set05	Hybrid	endosperm	B73xW22	B73xW22	6878	0.11491442542787286	0.3157894736842105	0.39473684210526316	0.5116279069767442
set06	Hybrid	endosperm	B73xW22	B73xW22	7129	0.09300254452926209	0.3125	0.3920838745095939	0.5098039215686274
set07	Hybrid	endosperm	B73xW22	B73xW22_mre1	8499	0.09314980793854033	0.3337870538415003	0.4105960264900662	0.528314043960319
set08	Hybrid	endosperm	B73xW22	B73xW22_mre1	8726	0.07807712625462229	0.3333333333333333	0.4057971014492754	0.523943661971831
set09	Hybrid	endosperm	B73xW22	B73xW22_mre1	8068	0.08286915994088893	0.3297442799461642	0.40540540540540543	0.5227272727272727
set10	Hybrid	endosperm	B73xW22	B73xW22_mre1	8221	0.07337691614066727	0.3297061894816784	0.40370652013933184	0.52
set11	Hybrid	endosperm	B73xW22	B73xW22_mre1	8923	0.08948979591836735	0.34500041789423097	0.42105263157894735	0.5416666666666666
set12	Hybrid	endosperm	B73xW22	B73xW22_mre1	9236	0.07138548160064348	0.34110807113543096	0.4166666666666667	0.5347834803528467
set13	Hybrid	embryo	B73xW22	B73xW22	10919	0.0652341409125931	0.48333333333333334	0.5480769230769231	0.6415094339622641
set14	Hybrid	embryo	B73xW22	B73xW22	11110	0.05599456198487552	0.4805194805194805	0.5454545454545454	0.6410256410256411
set15	Hybrid	embryo	B73xW22	B73xW22	10514	0.06641804297638075	0.48148148148148145	0.5472500795924865	0.6466161616161616
set16	Hybrid	embryo	B73xW22	B73xW22	10742	0.05639494026704146	0.47856047326906226	0.543859649122807	0.6462007504690432
set17	Hybrid	embryo	B73xW22	B73xW22	11565	0.06651061425458067	0.48066298342541436	0.5485074626865671	0.6527777777777778
set18	Hybrid	embryo	B73xW22	B73xW22	11720	0.056892250744346985	0.47830569251456745	0.5454545454545454	0.6486486486486487
set19	Hybrid	embryo	B73xW22	B73xW22_mre1	11214	0.06906857047982733	0.4666666666666667	0.5326691779011367	0.6359391078698939
set20	Hybrid	embryo	B73xW22	B73xW22_mre1	11444	0.056553998351195386	0.4642857142857143	0.5302677942212826	0.6296296296296297
set21	Hybrid	embryo	B73xW22	B73xW22_mre1	11191	0.06013269505332997	0.47937326133202424	0.5454545454545454	0.6481481481481481
set22	Hybrid	embryo	B73xW22	B73xW22_mre1	11398	0.05182597121703685	0.47619047619047616	0.5441176470588235	0.6470588235294118
set23	Hybrid	embryo	B73xW22	B73xW22_mre1	10585	0.06666078829027422	0.48214285714285715	0.5481481481481482	0.6448598130841121
set24	Hybrid	embryo	B73xW22	B73xW22_mre1	10765	0.0586743616649178	0.47972115516531755	0.5454545454545454	0.6452297787822752
set31	Hybrid	endosperm	B73xW22	B73xW22	7910	0.05552238805970149	0.35102390271176964	0.42696629213483145	0.557223113964687
set32	Hybrid	endosperm	B73xW22	B73xW22_mre21	7993	0.0725226270596426	0.3483327292497282	0.419735698139454	0.5416666666666666
set33	Hybrid	endosperm	B73xW22	B73xW22	8482	0.05471971469965452	0.35365853658536583	0.42435424354243545	0.5459770114942529
set34	Hybrid	endosperm	B73xW22	B73xW22_mre21	8282	0.05832859579306424	0.3484848484848485	0.4186046511627907	0.5294117647058824
set35	Hybrid	endosperm	B73xW22	B73xW22	8333	0.06096461573135001	0.3441034771679933	0.4171141421392678	0.536703129382538
set36	Hybrid	endosperm	B73xW22	B73xW22_mre21	9692	0.06167102333236518	0.35918367346938773	0.4268292682926829	0.55
set37	Hybrid	endosperm	B73xW22	B73xW22	8562	0.05901747444774151	0.3463452882057533	0.416	0.5349418604651163
set38	Hybrid	endosperm	B73xW22	B73xW22_mre21	8530	0.062328240079146974	0.3441938178780284	0.4112676056338028	0.5195822454308094
set39	Hybrid	endosperm	B73xW22	B73xW22	7234	0.06015330648304534	0.34972677595628415	0.4246575342465753	0.5474452554744526
set40	Hybrid	endosperm	B73xW22	B73xW22_mre217	8358	0.059525149094182515	0.354716652136007	0.425	0.5472349578309843
set41	Hybrid	endosperm	B73xW22	B73xW22	7440	0.05965621840242669	0.34904077497783964	0.4246797963757254	0.55
set42	Hybrid	endosperm	B73xW22	B73xW22_mre217	8526	0.061633281972265024	0.3506672504764108	0.4204802475645151	0.532258064516129
set43	Hybrid	endosperm	B73xW22	B73xW22	8847	0.056823027718550106	0.3548387096774194	0.42857142857142855	0.5555555555555556
set44	Hybrid	endosperm	B73xW22	B73xW22_mre217	8575	0.05572073560180597	0.3492063492063492	0.4225352112676056	0.5454545454545454
set45	Hybrid	endosperm	B73xW22	B73xW22	7895	0.05516993776926759	0.3525586701434159	0.4276918996741684	0.5543439626282116
set46	Hybrid	endosperm	B73xW22	B73xW22_mre217	8518	0.06148082855883649	0.34410269949178274	0.4142625982431808	0.5321873231465761
